prefix,label,rows
2.202,[Admin1],26
20.165,AgentRelent,14
52.87,AgentDataHelperX,14
20.171,LinkHelper771,12
20.12,AgentRelent,10
20.171,MapHelper,10
20.69,AgentRelent,10
208.102,OpenAIResearchApr30,10
135.232,AgentRelent,9
20.165,LinkHelper771,9
20.171,AgentRelent,9
20.225,Agent,9
20.225,AgentRelent,9
20.69,LinkHelper771,9
3.131,OAI7C97,9
184.185,OpenAIHealthdataCVDFeb05,8
20.168,MapHelper,8
20.69,AgentMassPointer13,8
20.80,AgentRelent,8
52.159,AgentRelent,8
57.154,AgentRelent,8
57.154,AgentTestLearnXYZ,8
20.114,AgentRelent,7
20.165,AgentMassPointer13,7
20.168,AgentRelent,7
20.168,LinkHelper771,7
20.245,AgentRelent,7
20.69,OpenAIBot,7
20.69,ResearchReaderMN,7
20.9,LinkHelper771,7
20.97,LinkHelper771,7
20.97,MapHelper,7
4.255,AgentMassPointer13,7
4.255,AgentRelent,7
18.220,OpenAICVDNov21,6
20.114,LinkHelper771,6
20.12,AgentMassPointer13,6
20.12,AgentTestLearnXYZ,6
20.163,AgentRelent,6
20.165,MapHelper,6
20.168,AgentMassPointer13,6
20.171,AgentMassFinal13,6
20.172,AgentMassPointer13,6
20.172,MapHelper,6
20.225,OpenAIResearchSec2028,6
20.228,AgentRelent,6
20.230,MapHelper,6
20.245,MapHelper,6
20.69,AgentMapCite8x,6
20.69,AgentTestLearnXYZ,6
20.69,MapHelper,6
20.69,OpenAIResearchSec2028,6
20.69,ResearchHelper,6
20.80,MapHelper,6
20.9,AgentRelent,6
20.97,AgentRelent,6
209.46,OpenAIHealthdataCVDSept08,6
4.227,AgentSECCountyLinker99172,6
52.159,MapHelper,6
52.162,AgentRelent,6
57.154,MapHelper,6
104.210,AgentRelent,5
130.131,AgentRelent,5
153.127,GroceryOurApr20X,5
165.140,OpenAIHealthdataCVDMar27,5
172.173,AgentRelent,5
172.212,MapHelper,5
184.178,OpenAICVDDec08Fast2028,5
20.165,ResearchReaderMN,5
20.172,OpenAICite,5
20.225,MapHelper,5
20.230,AgentRelent,5
20.29,CountyAgentMySecLinksZZZ2,5
20.45,AgentMassPointer13,5
20.45,AgentRelent,5
20.69,OpenAiResearcher,5
20.88,LinkHelper771,5
20.9,AgentTestLearnXYZ,5
20.9,MapHelper,5
20.9,ResearchHelper,5
20.97,ResearchHelper,5
208.102,OpenAIResearchDec30CVD,5
23.100,AgentRelent,5
3.23,OpenAINov16CVD,5
52.159,AgentTestLearnXYZ,5
52.159,LinkHelper771,5
52.165,AgentRelent,5
57.154,LinkHelper771,5
104.42,MapHelper,4
104.45,OpenAIResearcher,4
172.185,AgentRelent,4
185.220,OpenAIHealthdataCVDMay30,4
192.111,OpenAIHealthdataCVDJan31,4
192.42,OpenAIHealthdataCVDSept27,4
20.110,LinkHelper771,4
20.110,ResearchHelper,4
20.114,MapHelper,4
20.163,AgentMassPointer13,4
20.163,LinkHelper771,4
20.165,AgentHelperTwo,4
20.165,BridgeFresh12,4
20.168,OpenAIResearchSec2028,4
20.169,AgentMapCite8x,4
20.171,OpenAIResearchSec2027,4
20.172,Agent0AddJS,4
20.172,AgentRelent,4
20.172,OpenAIResearchSec2028,4
20.225,AgentMassFinal13,4
20.225,AgentMassPointer13,4
20.225,Test,4
20.237,AgentMassPointer13,4
20.237,AgentRelent,4
20.245,ResearchReaderMN,4
20.253,AgentRelent,4
20.29,AgentMassPointer13,4
20.29,AgentRelent,4
20.29,AgentTestLearnXYZ,4
20.3,AgentRelent,4
20.59,AgentTestLearnXYZ,4
20.65,AgentRelent,4
20.65,AgentTestLearnXYZ,4
20.69,Agent008HelperMD,4
20.69,AgentPageFit,4
20.69,DataResearchFinalHelper,4
20.69,OpenAIResearcher,4
20.80,AgentMassPointer13,4
20.80,LinkHelper771,4
20.9,AgentMapReal999,4
20.96,MapHelper,4
20.97,AgentMassPointer13,4
20.98,AgentMassPointer13,4
20.98,AgentRelent,4
20.98,CookHelperAgentAug,4
208.102,OAIJul30Evening2028,4
208.102,OpenAIResearchOct25X,4
3.12,CVDJun20Scout,4
4.151,AgentMassPointer13,4
4.151,AgentRelent,4
4.227,OpenAIResearchSec2028,4
4.255,AgentMapCite8x,4
4.255,AgentTestLearnXYZ,4
4.255,MapHelper,4
4.255,ResearchHelper,4
52.165,MapHelper,4
57.154,Agent0AddJS,4
57.154,ChatGPTCounty8888,4
57.154,GuestResearch378611,4
57.154,ResearchHelper,4
57.154,ResearchReaderMN,4
64.236,AgentMassPointer13,4
64.236,AgentRelent,4
104.210,AgentMassPointer13,3
104.42,AgentMassPointer13,3
104.42,ResearchHelper,3
130.131,AgentMassPointer13,3
130.131,AgentTestLearnXYZ,3
130.131,OpenAIResearchSec2028,3
134.122,OpenAIHealthdataCVDJun26,3
134.122,OpenAIHealthdataCVDMar06,3
135.232,AgentMapCite8x,3
135.232,OpenAIBot,3
135.232,ResearchReaderMN,3
