prefix_a,prefix_b,shared_labels
20.165,57.154,104
20.165,20.97,103
20.165,20.171,101
20.165,20.69,100
20.165,20.168,99
20.69,20.97,98
20.171,57.154,93
20.114,20.165,92
20.165,20.9,92
20.97,57.154,90
20.165,4.255,89
20.165,20.225,88
20.69,20.9,87
20.171,20.97,84
20.171,20.69,83
20.171,20.9,83
20.97,4.255,83
20.225,57.154,81
20.225,20.69,80
20.69,57.154,80
20.168,20.171,78
20.168,20.69,78
20.9,57.154,78
20.225,4.255,77
20.168,57.154,76
20.165,20.29,75
20.165,64.236,73
20.168,20.97,73
20.171,20.225,73
20.69,4.255,73
20.9,20.97,73
4.255,57.154,73
135.232,20.165,72
20.65,20.69,72
20.114,20.69,71
20.225,20.97,71
20.171,4.255,70
20.245,20.69,70
20.245,57.154,70
20.29,20.69,70
20.165,20.65,69
20.168,20.225,69
20.168,20.80,68
20.165,20.80,67
20.225,20.9,67
20.114,20.168,66
20.165,20.230,66
20.165,20.245,66
20.69,20.80,66
20.168,20.9,65
20.168,4.255,65
20.114,20.171,64
135.232,20.69,63
20.12,20.165,63
20.29,57.154,63
20.80,20.97,63
20.165,20.98,62
20.225,20.29,62
20.29,20.9,62
20.80,57.154,62
20.171,20.29,61
20.171,20.80,61
20.172,20.69,61
20.172,57.154,61
20.29,20.97,61
135.232,20.171,60
20.114,20.9,60
20.114,20.97,60
20.165,52.159,60
20.171,20.245,60
20.9,4.255,60
20.165,20.83,59
20.168,20.29,59
20.171,20.65,59
20.172,20.97,59
20.225,20.245,59
20.225,20.80,59
20.230,20.69,59
20.65,57.154,59
20.114,20.245,58
20.114,57.154,58
20.168,20.65,58
20.171,20.230,58
20.171,64.236,58
20.69,20.98,58
20.69,64.236,58
20.114,20.225,57
20.12,20.168,57
20.12,20.69,57
20.12,57.154,57
20.165,20.172,57
20.225,64.236,57
20.45,20.69,57
20.168,20.245,56
20.245,20.97,56
20.97,52.159,56
135.232,20.168,55
20.171,20.172,55
20.171,20.45,55
20.225,20.65,55
20.230,57.154,55
135.232,20.114,54
135.232,20.97,54
20.110,20.69,54
20.12,20.171,54
20.12,20.97,54
20.225,20.230,54
20.97,64.236,54
135.232,20.9,53
135.232,4.255,53
20.110,57.154,53
20.114,20.80,53
20.165,20.45,53
20.165,52.162,53
130.131,20.165,52
135.232,20.225,52
20.110,20.165,52
20.168,20.230,52
20.168,64.236,52
20.80,20.9,52
20.163,20.165,51
20.230,4.255,51
20.29,4.255,51
20.45,20.97,51
20.65,20.9,51
20.65,20.97,51
20.69,52.159,51
4.255,64.236,51
20.114,20.29,50
20.165,20.94,50
20.245,20.9,50
20.9,64.236,50
20.98,57.154,50
130.131,20.171,49
20.114,4.255,49
20.171,20.98,49
20.172,20.9,49
20.225,20.98,49
20.245,4.255,49
130.131,20.225,48
135.232,57.154,48
172.212,20.165,48
20.110,20.168,48
20.12,20.29,48
20.168,20.45,48
20.45,20.9,48
20.45,57.154,48
20.65,20.80,48
20.69,52.162,48
20.9,52.159,48
130.131,57.154,47
172.184,20.69,47
20.110,20.171,47
20.110,4.255,47
20.12,4.255,47
20.225,52.159,47
20.225,52.162,47
20.230,20.9,47
20.245,20.29,47
20.69,20.83,47
20.97,52.162,47
52.159,57.154,47
130.131,20.69,46
135.232,20.80,46
172.184,20.165,46
172.184,20.171,46
20.12,20.225,46
20.12,20.245,46
20.12,20.9,46
20.171,52.159,46
20.172,20.225,46
20.172,20.230,46
20.230,20.97,46
20.9,20.98,46
20.98,4.255,46
130.131,20.9,45
172.212,20.69,45
20.110,20.225,45
20.110,20.97,45
20.163,57.154,45
20.165,4.227,45
20.168,20.98,45
20.29,20.65,45
20.45,4.255,45
20.65,4.255,45
20.69,20.94,45
20.80,4.255,45
52.162,57.154,45
130.131,20.97,44
172.184,57.154,44
172.212,20.97,44
20.114,20.172,44
20.114,52.159,44
20.165,20.237,44
20.165,4.154,44
20.168,20.172,44
20.168,20.83,44
20.230,20.245,44
20.230,20.29,44
20.230,20.65,44
20.237,20.69,44
20.29,20.80,44
20.69,4.154,44
4.255,52.159,44
104.42,20.165,43
104.42,20.69,43
130.131,20.114,43
135.232,64.236,43
172.184,20.9,43
20.114,20.12,43
20.114,20.230,43
20.114,64.236,43
20.163,20.69,43
20.168,52.159,43
20.230,20.45,43
20.245,20.80,43
20.29,64.236,43
20.94,57.154,43
20.97,20.98,43
4.255,52.162,43
104.210,20.165,42
135.232,20.29,42
20.168,52.162,42
20.171,20.237,42
20.172,20.80,42
20.245,64.236,42
20.69,4.151,42
20.94,4.255,42
20.98,64.236,42
4.154,57.154,42
57.154,64.236,42
172.173,20.165,41
172.184,20.225,41
20.12,20.80,41
20.168,23.100,41
20.171,4.227,41
20.225,20.45,41
20.237,20.9,41
20.29,20.45,41
20.69,23.100,41
20.69,4.227,41
20.83,20.9,41
20.97,74.249,41
130.131,20.168,40
135.232,20.245,40
135.232,20.65,40
172.184,20.168,40
172.184,4.255,40
20.114,20.98,40
20.163,20.171,40
20.168,20.237,40
20.171,20.83,40
20.171,23.100,40
20.171,4.154,40
20.172,4.255,40
20.225,4.154,40
20.230,64.236,40
20.65,52.159,40
20.66,4.255,40
20.94,20.97,40
20.97,23.100,40
4.151,57.154,40
104.42,20.9,39
104.42,57.154,39
172.173,20.97,39
172.184,20.29,39
172.212,57.154,39
20.110,20.114,39
20.114,20.45,39
20.12,20.230,39
20.163,20.225,39
20.163,20.97,39
20.165,23.100,39
20.168,4.151,39
20.171,74.249,39
20.172,20.29,39
20.172,64.236,39
20.225,20.237,39
20.225,20.94,39
20.230,20.80,39
20.237,57.154,39
20.29,4.227,39
20.59,20.69,39
20.80,20.83,39
20.80,52.159,39
20.97,4.151,39
104.42,20.97,38
130.131,4.255,38
135.232,172.184,38
135.232,20.172,38
172.184,20.114,38
172.184,20.245,38
172.212,20.171,38
172.212,20.225,38
20.165,20.3,38
20.165,20.66,38
20.171,20.59,38
20.171,52.162,38
20.225,4.151,38
20.245,20.45,38
20.245,20.65,38
20.29,20.98,38
20.69,74.249,38
20.80,20.98,38
20.80,52.162,38
20.80,64.236,38
20.83,57.154,38
20.9,20.94,38
130.131,20.29,37
130.131,52.159,37
172.173,20.29,37
20.110,20.245,37
20.110,20.65,37
20.110,20.80,37
20.114,20.237,37
20.114,20.65,37
20.12,20.172,37
20.12,64.236,37
20.163,20.9,37
20.165,4.151,37
20.171,20.94,37
20.237,20.97,37
20.245,20.98,37
20.245,52.159,37
20.45,20.80,37
23.100,4.255,37
23.100,57.154,37
130.131,20.245,36
135.232,20.12,36
135.232,20.230,36
135.232,20.94,36
172.184,20.97,36
20.110,20.29,36
20.12,20.65,36
20.163,4.255,36
20.165,20.59,36
20.168,74.249,36
20.225,23.100,36
20.29,52.159,36
20.45,20.65,36
20.59,57.154,36
20.9,52.162,36
4.227,4.255,36
104.42,20.171,35
130.131,135.232,35
172.212,20.168,35
172.212,20.80,35
20.110,64.236,35
20.114,20.83,35
20.172,20.245,35
20.172,20.65,35
20.172,52.159,35
20.225,4.227,35
20.230,20.98,35
20.45,64.236,35
20.9,23.100,35
20.97,4.154,35
20.98,52.159,35
4.227,57.154,35
52.159,64.236,35
130.131,20.230,34
135.232,4.154,34
172.173,20.171,34
172.173,20.225,34
172.173,20.69,34
172.173,4.255,34
172.212,4.255,34
20.110,20.9,34
20.114,52.162,34
20.12,20.98,34
20.122,20.165,34
20.168,4.154,34
20.171,4.151,34
20.172,20.45,34
20.172,20.94,34
